tweet_id,ig_outgroup,grievance,mobilization,threat,dehumanization,fold
ru832d2d67dd,1,0,0,1,0,test
ru5665dcba89,0,0,0,0,0,train
rufcd97d5570,0,0,0,0,0,train
ru27c2a5fa85,0,0,0,0,0,train
ru685e2ed62d,0,0,0,0,0,test
rubfd499c303,0,0,0,0,0,train
rub6c6f58023,1,0,0,0,0,train
ru6d478c6794,0,0,0,0,0,val
rua5de16ac86,0,1,0,0,0,test
ru1650440051,0,0,0,0,0,train
ru6b8d5c7f99,0,0,0,0,0,train
ru50dd135fe0,0,0,0,0,0,train
ru29ff27d127,1,0,0,0,0,train
ru5fa2642e7f,0,0,0,0,0,train
ru9d7ebc0c45,0,0,0,0,0,val
ru9bfced744e,0,0,0,0,1,train
ru32067e8bdd,0,0,0,0,0,train
ru25019df289,0,0,0,1,0,test
rub9bbaee337,0,0,0,0,0,val
ru5d498aeedf,0,1,0,0,0,test
rub4484f0457,0,0,0,0,0,test
ruc096a767f6,0,0,0,0,0,train
ru97c931c60d,0,0,0,0,0,train
ruf388a30505,0,0,0,0,0,train
ru2a00de0218,0,0,0,0,0,val
ru95ca7090fe,1,0,0,0,0,train
ru6017c51d32,0,0,0,0,0,train
rud18529e0d2,0,0,0,0,0,train
rued924afdac,0,0,0,1,0,train
rue7ca04a346,1,0,0,0,0,train
rud9023f5a5a,0,0,0,0,0,train
rue8b1fc7d13,0,0,0,0,0,train
ru575578b1aa,0,0,0,0,0,train
ru96a6ca6536,0,0,0,0,0,train
ru2cc0168317,0,0,0,0,0,val
ru049ed63847,0,1,0,0,0,test
ru39d9e1c645,0,0,0,0,0,test
rud4064a6546,0,0,0,0,0,val
ruc6e89baf97,0,1,0,0,0,test
ru5d8581e5a6,0,0,0,0,0,train
rufeb61c336a,0,0,0,0,0,test
ru4512082f8f,0,0,0,0,0,train
ruc2bb202b49,1,0,0,0,0,train
ru3f8135b080,0,0,0,0,0,val
ru92fdcac801,0,0,0,0,0,train
ru8b689e320a,0,0,0,0,0,val
rud580cabaea,0,0,0,0,0,train
rub04db1dc91,1,1,1,0,0,train
ru48d7f73c67,1,0,0,0,1,train
rua583533703,0,0,0,0,0,train
rubbd9b6fb03,0,0,0,0,0,train
rub1d9481526,0,0,0,0,0,train
ru197a8adbf7,0,0,0,0,0,test
ru3bf69619f4,0,0,0,0,0,test
ruf08dad8858,1,0,0,0,0,train
rubc0a79d361,0,0,0,0,0,train
rue40ce2900f,0,0,0,0,0,train
ru10fa4e2dc0,0,0,0,0,0,test
ruef01711a4f,0,0,0,0,0,test
rudac55b099e,0,0,0,0,0,test
ruf156d122a6,0,0,0,0,0,val
ru194c289f77,0,0,0,0,0,train
ru927b46b489,0,0,0,0,0,val
ru5654915297,0,0,1,0,0,train
ru00a849ac17,0,0,0,0,0,train
ru3f96e2555c,0,0,0,0,0,train
ru1fe3501730,1,0,0,0,0,train
ru1d73f2e6df,0,0,0,0,0,train
rue990f258a6,0,0,0,0,0,train
rud7fbb85735,0,0,0,0,0,train
ru683f8c2b54,0,0,0,0,0,train
ruda787a1ee0,0,0,0,0,0,test
ru3c3b7e8d29,0,0,0,0,0,train
ru18a40b61cc,0,0,0,0,0,train
rufc382c3a72,0,0,0,0,0,train
ru4243ecc367,0,0,0,0,0,train
ruc46ba02a5f,0,0,0,0,0,train
rubb6c6b7d0f,0,0,0,0,0,train
ru33a4fef3c1,0,0,0,0,0,train
ru35b3dfe5ea,0,0,0,0,0,train
ru1eb0ac9d85,1,0,0,0,0,test
ruef486cf01f,0,1,1,0,0,train
ruc5f0daf41b,0,0,0,0,0,train
ru93a0e642aa,0,0,0,0,0,train
ru0c271fa506,0,0,0,0,0,train
ru0c857faba5,1,0,0,0,0,train
rua4367241c3,0,0,0,0,0,train
ru3f9cd3bbb2,1,0,0,0,0,test
ruba51d0d126,0,0,1,1,0,train
ru9de6feda06,0,0,0,1,0,train
ru91c4846600,0,0,0,0,0,val
ruab409fbb72,0,0,0,0,0,val
rud96f849f01,0,1,0,0,0,train
ru236c2217d0,0,0,0,0,0,train
ru133f46ae1e,0,0,0,0,0,train
ruca4519b810,0,0,0,0,0,test
ru68b35d727b,0,0,0,0,0,train
ru05f8c74c49,0,0,0,1,0,train
ru6df024e498,1,0,1,0,0,test
ruade6a53ecc,0,0,0,0,0,test
rub429d14dca,0,0,0,0,0,test
ru84cc463591,0,1,0,0,0,val
rub277fc833b,0,0,0,0,0,train
ru2f24cca41e,0,0,0,0,0,test
ru78b9c8ed8c,0,0,0,0,0,train
ru9638967d85,0,0,1,0,0,train
ru544d1d93f5,0,0,0,0,0,train
ru51865f25dd,0,1,0,0,0,test
ru716d7f844f,0,0,0,0,0,train
ru39a0fbbf93,1,0,0,0,0,val
rub7f4bf0581,0,0,0,0,0,train
ru8cc7280f21,0,1,0,0,0,train
rucf776fcc4d,1,0,0,0,0,test
ru12dc73bf7a,0,0,0,0,0,train
rufc70b52bf7,0,0,0,0,0,train
ru4c4a4c0f16,0,0,0,0,0,test
ru3fbd70c93a,0,0,0,0,0,train
rubf0f3b5bf2,0,0,0,0,0,train
ru3214c1412e,0,0,0,0,0,train
ru7cbd75d993,0,0,0,0,0,test
rua6e9f85ccf,0,0,0,0,0,train
ru87c39f2995,0,0,0,0,0,test
ru54147aba1b,0,0,0,0,0,test
rue5805f22a6,1,0,0,0,0,train
ru68954d69da,1,0,1,0,0,test
ru5f0965cf7d,0,1,0,0,0,train
ru6a309e22d1,0,0,0,0,0,test
ru73031520a6,1,0,0,0,0,test
rub0c05a623b,0,0,0,0,0,test
ru2e8748c401,0,0,0,0,0,train
ru689ece7d89,0,0,0,0,0,train
ru9a21aea2d8,0,0,0,0,0,train
ru4bdf21a390,0,0,0,0,0,train
ru1e0d3f42be,0,0,0,0,0,val
ru41be0a9a60,0,0,0,0,0,test
ru7ae0466a97,0,0,0,0,0,train
rub5ba5301c8,0,0,0,0,0,train
rua3e5945208,0,0,0,0,0,val
rub8c176cfad,0,0,0,0,0,test
rubca26c4601,0,0,0,0,0,val
ru54e8c8ba5a,1,0,0,0,0,train
ru0043ab18da,0,0,0,0,0,val
ru45faa86bf9,0,0,0,0,0,train
rud34ca9607e,0,0,0,0,0,test
rub95730f8cd,0,0,0,0,0,test
ru8dc03cd2b4,0,0,0,0,0,train
ruaa04c7abb1,0,0,0,0,0,test
rua3df3d8b63,0,0,0,0,0,test
ru0b3560e91e,0,0,0,0,0,train
ru5fa6aebe94,0,0,0,0,0,test
ru4a77a9761a,0,0,0,0,0,train
ru970abd4ac4,0,0,0,0,0,train
ru1c19fc2b45,0,0,0,0,0,test
ru15d7273dab,1,0,0,0,0,train
rueef3ececf2,0,0,0,0,0,test
rubd4a7929b2,0,0,0,0,0,train
ru77fd31c427,0,0,0,0,0,test
ru5ae9479bb0,0,0,0,0,0,test
ru30cabf506b,0,1,0,0,0,train
ruc6ba8928d5,1,0,1,0,0,train
ru7b9e64071f,0,1,0,0,0,test
ru8b7a0cdbe6,0,0,1,0,0,test
ru6f2962e3bd,0,0,0,0,0,test
ru8d48ac014c,0,0,0,0,0,train
ru28d1299ce6,0,0,0,0,0,train
ru8754731a3c,0,0,0,0,0,train
ru098c4b39eb,1,0,0,0,1,val
ru4744565a1e,0,0,0,0,0,train
ru4d3174d750,1,0,0,0,0,train
ru4a21e13f4f,1,0,0,0,0,train
rue70acd4539,0,0,0,0,0,test
ru5aa61986f2,0,0,0,0,0,train
ru5957970473,0,0,0,0,0,val
ru34936e03b2,0,0,0,0,0,train
rubeeb1bd505,0,0,0,0,0,val
ru762874f7a6,0,0,0,0,0,train
ru027e394406,0,0,0,0,0,train
ruff9f3ef2fc,0,0,0,0,0,val
ru0def98500c,1,1,0,0,0,train
rube4c789f14,0,0,0,0,0,val
ru4589b1c3a2,0,0,0,0,0,train
ru5f81dc1514,0,0,0,0,0,train
rucf2b7a7205,0,0,0,0,0,train
ru8bdba57013,0,0,0,0,0,train
ru266e64d635,0,0,0,0,0,train
ru7ec212a66d,0,0,0,0,0,train
rufec7338626,0,0,0,0,0,train
rua211cfdf26,0,0,0,0,0,train
ru2451cc1bde,0,0,0,0,0,train
rufdc453d142,0,0,0,0,0,train
ru86ed9f2bcd,0,0,0,0,0,test
rucc2bb348b3,0,0,0,0,0,test
ru3a6fff292e,1,0,0,0,0,train
ru5c891f10a8,0,0,0,0,0,val
rudc59034c6c,0,0,1,0,0,test
ru676619cde3,1,0,0,0,0,test
rubc19beb753,0,0,0,0,0,train
ru5ec636ff9d,0,0,0,0,0,test
ru4ffa9b9fb9,0,0,0,0,0,train
rufd39c033f6,0,0,0,0,0,train
ru19bd812954,0,0,0,0,0,test
ru78527c6931,0,0,0,0,0,train
ru309a9d463a,0,0,0,0,0,train
ru69c783ea96,0,0,0,0,0,train
ru4f2108ab01,0,0,0,0,0,train
ru32a7faeedb,0,0,0,0,0,train
ru5ce88cd224,0,1,0,0,0,test
ru796c41040d,1,0,0,0,0,test
ru6a091cc17f,1,0,0,0,0,train
ru97cfe17238,0,0,0,0,0,train
ru824dab65fa,0,0,0,0,0,train
ruf79c907880,0,0,0,0,0,train
ru8433eb733f,0,0,0,0,0,val
rua89a9f00c3,0,0,0,0,0,train
ru9739b6f904,0,0,0,0,0,train
ru6a113c2f73,0,0,0,0,0,train
rue923bdc081,0,0,0,0,0,train
rua5138b7d49,0,0,0,0,0,train
ru9940ddc3ed,0,0,0,0,0,train
rua9d0b6937b,0,0,0,0,0,test
rue01cbd231f,0,0,0,0,0,train
ru776dc6a355,0,0,0,0,0,train
rube07728a8d,0,0,0,0,0,train
ruea701d2522,0,0,0,0,0,train
rub92165a5e6,0,0,0,0,0,train
ru6d9e2f79d6,0,0,0,0,0,test
ru2ffa96a1e9,0,0,0,0,0,train
