tweet_id,ig_outgroup,dehumanization,grievance,glorification,mobilization,threat,split,source,violence_dehum
ru832d2d67dd,1,0,0,0,0,1,iaa,double+adjudicated,0
ru5665dcba89,0,0,0,0,0,0,iaa,double+adjudicated,0
rufcd97d5570,0,0,0,0,0,0,iaa,double+adjudicated,0
ru27c2a5fa85,0,0,0,0,0,0,iaa,double+adjudicated,0
ru685e2ed62d,0,0,0,0,0,0,iaa,double+adjudicated,0
rubfd499c303,0,0,0,0,0,0,iaa,double+adjudicated,0
rub6c6f58023,1,0,0,0,0,0,iaa,double+adjudicated,0
ru6d478c6794,0,0,0,0,0,0,iaa,double+adjudicated,0
rua5de16ac86,0,0,1,0,0,0,iaa,double+adjudicated,0
ru1650440051,0,0,0,0,0,0,iaa,double+adjudicated,0
ru6b8d5c7f99,0,0,0,0,0,0,iaa,double+adjudicated,0
ru50dd135fe0,0,0,0,0,0,0,iaa,double+adjudicated,0
ru29ff27d127,1,0,0,0,0,0,iaa,double+adjudicated,0
ru5fa2642e7f,0,0,0,0,0,0,iaa,double+adjudicated,0
ru9d7ebc0c45,0,0,0,0,0,0,iaa,double+adjudicated,0
ru9bfced744e,0,1,0,0,0,0,iaa,double+adjudicated,1
ru32067e8bdd,0,0,0,0,0,0,iaa,double+adjudicated,0
ru25019df289,0,0,0,0,0,1,iaa,double+adjudicated,0
rub9bbaee337,0,0,0,0,0,0,iaa,double+adjudicated,0
ru5d498aeedf,0,0,1,0,0,0,iaa,double+adjudicated,0
rub4484f0457,0,0,0,0,0,0,iaa,double+adjudicated,0
ruc096a767f6,0,0,0,0,0,0,iaa,double+adjudicated,0
ru97c931c60d,0,0,0,0,0,0,iaa,double+adjudicated,0
ruf388a30505,0,0,0,0,0,0,iaa,double+adjudicated,0
ru2a00de0218,0,0,0,0,0,0,iaa,double+adjudicated,0
ru95ca7090fe,1,0,0,0,0,0,iaa,double+adjudicated,0
ru6017c51d32,0,0,0,0,0,0,iaa,double+adjudicated,0
rud18529e0d2,0,0,0,0,0,0,iaa,double+adjudicated,0
rued924afdac,0,0,0,0,0,1,iaa,double+adjudicated,0
rue7ca04a346,1,0,0,0,0,0,iaa,double+adjudicated,0
rud9023f5a5a,0,0,0,0,0,0,iaa,double+adjudicated,0
rue8b1fc7d13,0,0,0,0,0,0,iaa,double+adjudicated,0
ru575578b1aa,0,0,0,0,0,0,iaa,double+adjudicated,0
ru96a6ca6536,0,0,0,0,0,0,iaa,double+adjudicated,0
ru2cc0168317,0,0,0,0,0,0,iaa,double+adjudicated,0
ru049ed63847,0,0,1,0,0,0,iaa,double+adjudicated,0
ru39d9e1c645,0,0,0,0,0,0,iaa,double+adjudicated,0
rud4064a6546,0,0,0,0,0,0,iaa,double+adjudicated,0
ruc6e89baf97,0,0,1,0,0,0,iaa,double+adjudicated,0
ru5d8581e5a6,0,0,0,0,0,0,iaa,double+adjudicated,0
rufeb61c336a,0,0,0,0,0,0,iaa,double+adjudicated,0
ru4512082f8f,0,0,0,0,0,0,iaa,double+adjudicated,0
ruc2bb202b49,1,0,0,0,0,0,iaa,double+adjudicated,0
ru3f8135b080,0,0,0,0,0,0,iaa,double+adjudicated,0
ru92fdcac801,0,0,0,0,0,0,iaa,double+adjudicated,0
ru8b689e320a,0,0,0,0,0,0,iaa,double+adjudicated,0
rud580cabaea,0,0,0,0,0,0,iaa,double+adjudicated,0
rub04db1dc91,1,0,1,0,1,0,iaa,double+adjudicated,0
ru48d7f73c67,1,1,0,0,0,0,iaa,double+adjudicated,1
rua583533703,0,0,0,0,0,0,iaa,double+adjudicated,0
rubbd9b6fb03,0,0,0,0,0,0,iaa,double+adjudicated,0
rub1d9481526,0,0,0,0,0,0,iaa,double+adjudicated,0
ru197a8adbf7,0,0,0,0,0,0,iaa,double+adjudicated,0
ru3bf69619f4,0,0,0,0,0,0,iaa,double+adjudicated,0
ruf08dad8858,1,0,0,0,0,0,iaa,double+adjudicated,0
rubc0a79d361,0,0,0,0,0,0,iaa,double+adjudicated,0
rue40ce2900f,0,0,0,0,0,0,iaa,double+adjudicated,0
ru10fa4e2dc0,0,0,0,0,0,0,iaa,double+adjudicated,0
ruef01711a4f,0,0,0,0,0,0,iaa,double+adjudicated,0
rudac55b099e,0,0,0,0,0,0,iaa,double+adjudicated,0
ruf156d122a6,0,0,0,0,0,0,iaa,double+adjudicated,0
ru194c289f77,0,0,0,0,0,0,iaa,double+adjudicated,0
ru927b46b489,0,0,0,0,0,0,iaa,double+adjudicated,0
ru5654915297,0,0,0,0,1,0,iaa,double+adjudicated,0
ru00a849ac17,0,0,0,0,0,0,iaa,double+adjudicated,0
ru3f96e2555c,0,0,0,0,0,0,iaa,double+adjudicated,0
ru1fe3501730,1,0,0,0,0,0,iaa,double+adjudicated,0
ru1d73f2e6df,0,0,0,0,0,0,iaa,double+adjudicated,0
rue990f258a6,0,0,0,0,0,0,iaa,double+adjudicated,0
rud7fbb85735,0,0,0,0,0,0,iaa,double+adjudicated,0
ru683f8c2b54,0,0,0,0,0,0,iaa,double+adjudicated,0
ruda787a1ee0,0,0,0,0,0,0,iaa,double+adjudicated,0
ru3c3b7e8d29,0,0,0,0,0,0,iaa,double+adjudicated,0
ru18a40b61cc,0,0,0,0,0,0,iaa,double+adjudicated,0
rufc382c3a72,0,0,0,0,0,0,iaa,double+adjudicated,0
ru4243ecc367,0,0,0,0,0,0,iaa,double+adjudicated,0
ruc46ba02a5f,0,0,0,0,0,0,iaa,double+adjudicated,0
rubb6c6b7d0f,0,0,0,0,0,0,iaa,double+adjudicated,0
ru33a4fef3c1,0,0,0,0,0,0,iaa,double+adjudicated,0
ru35b3dfe5ea,0,0,0,0,0,0,iaa,double+adjudicated,0
ru1eb0ac9d85,1,0,0,0,0,0,iaa,double+adjudicated,0
ruef486cf01f,0,0,1,0,1,0,iaa,double+adjudicated,0
ruc5f0daf41b,0,0,0,0,0,0,iaa,double+adjudicated,0
ru93a0e642aa,0,0,0,0,0,0,iaa,double+adjudicated,0
ru0c271fa506,0,0,0,0,0,0,iaa,double+adjudicated,0
ru0c857faba5,1,0,0,0,0,0,iaa,double+adjudicated,0
rua4367241c3,0,0,0,0,0,0,iaa,double+adjudicated,0
ru3f9cd3bbb2,1,0,0,0,0,0,iaa,double+adjudicated,0
ruba51d0d126,0,0,0,0,1,1,iaa,double+adjudicated,0
