A,B,P_B_given_A,odds_ratio,p,n_cooccur
ig_outgroup,dehumanization,0.1,12.57,0.0,19
ig_outgroup,grievance,0.14,3.91,0.0,27
ig_outgroup,glorification,0.02,4.5,0.0316,4
ig_outgroup,mobilization,0.1,3.58,0.0,20
ig_outgroup,threat,0.06,2.7,0.0126,11
dehumanization,ig_outgroup,0.63,12.57,0.0,19
dehumanization,grievance,0.03,0.63,1.0,1
dehumanization,glorification,0.03,5.67,0.1812,1
dehumanization,mobilization,0.07,1.76,0.3335,2
dehumanization,threat,0.1,4.49,0.0393,3
grievance,ig_outgroup,0.35,3.91,0.0,27
grievance,dehumanization,0.01,0.63,1.0,1
grievance,glorification,0.01,2.07,0.4105,1
grievance,mobilization,0.12,3.56,0.0027,9
grievance,threat,0.03,1.0,1.0,2
glorification,ig_outgroup,0.4,4.5,0.0316,4
glorification,dehumanization,0.1,5.67,0.1812,1
glorification,grievance,0.1,2.07,0.4105,1
glorification,mobilization,0.3,10.92,0.0058,3
glorification,threat,0.0,0.0,1.0,0
mobilization,ig_outgroup,0.33,3.58,0.0,20
mobilization,dehumanization,0.03,1.76,0.3335,2
mobilization,grievance,0.15,3.56,0.0027,9
mobilization,glorification,0.05,10.92,0.0058,3
mobilization,threat,0.3,29.37,0.0,18
threat,ig_outgroup,0.28,2.7,0.0126,11
threat,dehumanization,0.08,4.49,0.0393,3
threat,grievance,0.05,1.0,1.0,2
threat,glorification,0.0,0.0,1.0,0
threat,mobilization,0.46,29.37,0.0,18
