tweet_id,raw,status,ig_outgroup,dehumanization,grievance,glorification,mobilization,threat
ru832d2d67dd,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ru5665dcba89,"{""labels"": []}",ok,0,0,0,0,0,0
rufcd97d5570,"{""labels"": []}",ok,0,0,0,0,0,0
ru27c2a5fa85,"{""labels"": []}",ok,0,0,0,0,0,0
ru685e2ed62d,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
rubfd499c303,"{""labels"": [""dehumanization"", ""grievance"", ""mobilization"", ""threat""]}",ok,0,1,1,0,1,1
rub6c6f58023,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru6d478c6794,"{""labels"": []}",ok,0,0,0,0,0,0
rua5de16ac86,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru1650440051,"{""labels"": [""grievance"", ""dehumanization""]}",ok,0,1,1,0,0,0
ru6b8d5c7f99,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru50dd135fe0,"{""labels"": [""grievance"", ""mobilization""]}",ok,0,0,1,0,1,0
ru29ff27d127,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru5fa2642e7f,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru9d7ebc0c45,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru9bfced744e,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru32067e8bdd,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ru25019df289,"{""labels"": [""dehumanization"", ""threat""]}",ok,0,1,0,0,0,1
rub9bbaee337,"{""labels"": [""dehumanization"", ""grievance""]}",ok,0,1,1,0,0,0
ru5d498aeedf,"{""labels"": []}",ok,0,0,0,0,0,0
rub4484f0457,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ruc096a767f6,"{""labels"": []}",ok,0,0,0,0,0,0
ru97c931c60d,"{""labels"": []}",ok,0,0,0,0,0,0
ruf388a30505,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru2a00de0218,"{""labels"": [""glorification""]}",ok,0,0,0,1,0,0
ru95ca7090fe,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru6017c51d32,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
rud18529e0d2,"{""labels"": [""ig_outgroup"", ""dehumanization""]}",ok,1,1,0,0,0,0
rued924afdac,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
rue7ca04a346,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
rud9023f5a5a,"{""labels"": [""grievance"", ""dehumanization""]}",ok,0,1,1,0,0,0
rue8b1fc7d13,"{""labels"": []}",ok,0,0,0,0,0,0
ru575578b1aa,"{""labels"": []}",ok,0,0,0,0,0,0
ru96a6ca6536,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ru2cc0168317,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru049ed63847,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru39d9e1c645,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
rud4064a6546,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ruc6e89baf97,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru5d8581e5a6,"{""labels"": [""ig_outgroup"", ""dehumanization""]}",ok,1,1,0,0,0,0
rufeb61c336a,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru4512082f8f,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ruc2bb202b49,"{""labels"": [""ig_outgroup"", ""dehumanization""]}",ok,1,1,0,0,0,0
ru3f8135b080,"{""labels"": []}",ok,0,0,0,0,0,0
ru92fdcac801,"{""labels"": []}",ok,0,0,0,0,0,0
ru8b689e320a,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
rud580cabaea,"{""labels"": [""ig_outgroup"", ""dehumanization""]}",ok,1,1,0,0,0,0
rub04db1dc91,"{""labels"": [""ig_outgroup"", ""dehumanization"", ""mobilization""]}",ok,1,1,0,0,1,0
ru48d7f73c67,"{""labels"": [""grievance"", ""dehumanization"", ""mobilization""]}",ok,0,1,1,0,1,0
rua583533703,"{""labels"": []}",ok,0,0,0,0,0,0
rubbd9b6fb03,"{""labels"": []}",ok,0,0,0,0,0,0
rub1d9481526,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru197a8adbf7,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru3bf69619f4,"{""labels"": [""ig_outgroup"", ""dehumanization""]}",ok,1,1,0,0,0,0
ruf08dad8858,"{""labels"": []}",ok,0,0,0,0,0,0
rubc0a79d361,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
rue40ce2900f,"{""labels"": []}",ok,0,0,0,0,0,0
ru10fa4e2dc0,"{""labels"": [""ig_outgroup"", ""dehumanization""]}",ok,1,1,0,0,0,0
ruef01711a4f,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
rudac55b099e,"{""labels"": []}",ok,0,0,0,0,0,0
ruf156d122a6,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ru194c289f77,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
