tweet_id,raw,status,ig_outgroup,dehumanization,grievance,glorification,mobilization,threat
ru832d2d67dd,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ru685e2ed62d,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
rua5de16ac86,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru25019df289,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru5d498aeedf,"{""labels"": []}",ok,0,0,0,0,0,0
rub4484f0457,"{""labels"": [""""]}",ok,0,0,0,0,0,0
ru049ed63847,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ru39d9e1c645,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ruc6e89baf97,"{""labels"": [""grievance"", ""dehumanization""]}",ok,0,1,1,0,0,0
rufeb61c336a,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru197a8adbf7,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru3bf69619f4,"{""labels"": [""ig_outgroup"", ""dehumanization""]}",ok,1,1,0,0,0,0
ru10fa4e2dc0,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ruef01711a4f,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
rudac55b099e,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
ruda787a1ee0,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru1eb0ac9d85,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru3f9cd3bbb2,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ruca4519b810,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ru6df024e498,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
ruade6a53ecc,"{""labels"": [""glorification""]}",ok,0,0,0,1,0,0
rub429d14dca,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ru2f24cca41e,"{""labels"": [""dehumanization"", ""grievance"", ""mobilization""]}",ok,0,1,1,0,1,0
ru51865f25dd,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
rucf776fcc4d,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru4c4a4c0f16,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ru7cbd75d993,"{""labels"": [""none""]}",ok,0,0,0,0,0,0
ru87c39f2995,"{""labels"": [""""]}",ok,0,0,0,0,0,0
ru54147aba1b,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru68954d69da,"{""labels"": [""dehumanization"", ""mobilization""]}",ok,0,1,0,0,1,0
ru6a309e22d1,"{""labels"": []}",ok,0,0,0,0,0,0
ru73031520a6,"{""labels"": [""dehumanization"", ""mobilization""]}",ok,0,1,0,0,1,0
rub0c05a623b,"{""labels"": [""ig_outgroup"", ""dehumanization""]}",ok,1,1,0,0,0,0
ru41be0a9a60,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
rub8c176cfad,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
rud34ca9607e,"{""labels"": [""none""]}",ok,0,0,0,0,0,0
rub95730f8cd,"{""labels"": [""threat""]}",ok,0,0,0,0,0,1
ruaa04c7abb1,"{""labels"": [""dehumanization"", ""grievance""]}",ok,0,1,1,0,0,0
rua3df3d8b63,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ru5fa6aebe94,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru1c19fc2b45,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
rueef3ececf2,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ru77fd31c427,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
ru5ae9479bb0,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
ru7b9e64071f,"{""labels"": [""glorification"", ""dehumanization""]}",ok,0,1,0,1,0,0
ru8b7a0cdbe6,"{""labels"": [""mobilization""]}",ok,0,0,0,0,1,0
ru6f2962e3bd,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
rue70acd4539,"{""labels"": [""dehumanization""]}",ok,0,1,0,0,0,0
