tweet_id,fold
ru832d2d67dd,test
ru5665dcba89,train
rufcd97d5570,train
ru27c2a5fa85,train
ru685e2ed62d,test
rubfd499c303,train
rub6c6f58023,train
ru6d478c6794,val
rua5de16ac86,test
ru1650440051,train
ru6b8d5c7f99,train
ru50dd135fe0,train
ru29ff27d127,train
ru5fa2642e7f,train
ru9d7ebc0c45,val
ru9bfced744e,train
ru32067e8bdd,train
ru25019df289,test
rub9bbaee337,val
ru5d498aeedf,test
rub4484f0457,test
ruc096a767f6,train
ru97c931c60d,train
ruf388a30505,train
ru2a00de0218,val
ru95ca7090fe,train
ru6017c51d32,train
rud18529e0d2,train
rued924afdac,train
rue7ca04a346,train
rud9023f5a5a,train
rue8b1fc7d13,train
ru575578b1aa,train
ru96a6ca6536,train
ru2cc0168317,val
ru049ed63847,test
ru39d9e1c645,test
rud4064a6546,val
ruc6e89baf97,test
ru5d8581e5a6,train
rufeb61c336a,test
ru4512082f8f,train
ruc2bb202b49,train
ru3f8135b080,val
ru92fdcac801,train
ru8b689e320a,val
rud580cabaea,train
rub04db1dc91,train
ru48d7f73c67,train
rua583533703,train
rubbd9b6fb03,train
rub1d9481526,train
ru197a8adbf7,test
ru3bf69619f4,test
ruf08dad8858,train
rubc0a79d361,train
rue40ce2900f,train
ru10fa4e2dc0,test
ruef01711a4f,test
rudac55b099e,test
ruf156d122a6,val
ru194c289f77,train
ru927b46b489,val
ru5654915297,train
ru00a849ac17,train
ru3f96e2555c,train
ru1fe3501730,train
ru1d73f2e6df,train
rue990f258a6,train
rud7fbb85735,train
ru683f8c2b54,train
ruda787a1ee0,test
ru3c3b7e8d29,train
ru18a40b61cc,train
rufc382c3a72,train
ru4243ecc367,train
ruc46ba02a5f,train
rubb6c6b7d0f,train
ru33a4fef3c1,train
ru35b3dfe5ea,train
ru1eb0ac9d85,test
ruef486cf01f,train
ruc5f0daf41b,train
ru93a0e642aa,train
ru0c271fa506,train
ru0c857faba5,train
rua4367241c3,train
ru3f9cd3bbb2,test
ruba51d0d126,train
ru9de6feda06,train
ru91c4846600,val
ruab409fbb72,val
rud96f849f01,train
ru236c2217d0,train
ru133f46ae1e,train
ruca4519b810,test
ru68b35d727b,train
ru05f8c74c49,train
ru6df024e498,test
ruade6a53ecc,test
rub429d14dca,test
ru84cc463591,val
rub277fc833b,train
ru2f24cca41e,test
ru78b9c8ed8c,train
ru9638967d85,train
ru544d1d93f5,train
ru51865f25dd,test
ru716d7f844f,train
ru39a0fbbf93,val
rub7f4bf0581,train
ru8cc7280f21,train
rucf776fcc4d,test
ru12dc73bf7a,train
rufc70b52bf7,train
ru4c4a4c0f16,test
ru3fbd70c93a,train
rubf0f3b5bf2,train
ru3214c1412e,train
ru7cbd75d993,test
rua6e9f85ccf,train
ru87c39f2995,test
ru54147aba1b,test
rue5805f22a6,train
ru68954d69da,test
ru5f0965cf7d,train
ru6a309e22d1,test
ru73031520a6,test
rub0c05a623b,test
ru2e8748c401,train
ru689ece7d89,train
ru9a21aea2d8,train
ru4bdf21a390,train
ru1e0d3f42be,val
ru41be0a9a60,test
ru7ae0466a97,train
rub5ba5301c8,train
rua3e5945208,val
rub8c176cfad,test
rubca26c4601,val
ru54e8c8ba5a,train
ru0043ab18da,val
ru45faa86bf9,train
rud34ca9607e,test
rub95730f8cd,test
ru8dc03cd2b4,train
ruaa04c7abb1,test
rua3df3d8b63,test
ru0b3560e91e,train
ru5fa6aebe94,test
ru4a77a9761a,train
ru970abd4ac4,train
ru1c19fc2b45,test
ru15d7273dab,train
rueef3ececf2,test
rubd4a7929b2,train
ru77fd31c427,test
ru5ae9479bb0,test
ru30cabf506b,train
ruc6ba8928d5,train
ru7b9e64071f,test
ru8b7a0cdbe6,test
ru6f2962e3bd,test
ru8d48ac014c,train
ru28d1299ce6,train
ru8754731a3c,train
ru098c4b39eb,val
ru4744565a1e,train
ru4d3174d750,train
ru4a21e13f4f,train
rue70acd4539,test
ru5aa61986f2,train
ru5957970473,val
ru34936e03b2,train
rubeeb1bd505,val
ru762874f7a6,train
ru027e394406,train
ruff9f3ef2fc,val
ru0def98500c,train
rube4c789f14,val
ru4589b1c3a2,train
