tweet_id,raw,status,ig_outgroup,dehumanization,grievance,glorification,mobilization,threat
ru832d2d67dd,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ru685e2ed62d,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
rua5de16ac86,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru25019df289,"{""labels"": [""ig_outgroup"", ""dehumanization"", ""grievance""]}",ok,1,1,1,0,0,0
ru5d498aeedf,"{""labels"": []}",ok,0,0,0,0,0,0
rub4484f0457,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
ru049ed63847,"{""labels"": [""grievance"", ""glorification""]}",ok,0,0,1,1,0,0
ru39d9e1c645,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ruc6e89baf97,"{""labels"": [""ig_outgroup"", ""grievance"", ""glorification"", ""mobilization"", ""threat""]}",ok,1,0,1,1,1,1
rufeb61c336a,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
ru197a8adbf7,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ru3bf69619f4,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
ru10fa4e2dc0,"{""labels"": [""ig_outgroup"", ""mobilization""]}",ok,1,0,0,0,1,0
ruef01711a4f,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
rudac55b099e,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ruda787a1ee0,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru1eb0ac9d85,"{""labels"": [""ig_outgroup"", ""dehumanization"", ""grievance""]}",ok,1,1,1,0,0,0
ru3f9cd3bbb2,"{""labels"": [""grievance"", ""ig_outgroup""]}",ok,1,0,1,0,0,0
ruca4519b810,"{""labels"": [""ig_outgroup""]}",ok,1,0,0,0,0,0
ru6df024e498,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
ruade6a53ecc,"{""labels"": []}",ok,0,0,0,0,0,0
rub429d14dca,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru2f24cca41e,"{""labels"": [""ig_outgroup"", ""dehumanization"", ""grievance"", ""glorification"", ""mobilization"", ""threat""]}",ok,1,1,1,1,1,1
ru51865f25dd,"{""labels"": [""grievance"", ""dehumanization""]}",ok,0,1,1,0,0,0
rucf776fcc4d,"{""labels"": [""ig_outgroup"", ""grievance""]}",ok,1,0,1,0,0,0
ru4c4a4c0f16,"{""labels"": [""grievance"", ""mobilization""]}",ok,0,0,1,0,1,0
ru7cbd75d993,"{""labels"": []}",ok,0,0,0,0,0,0
ru87c39f2995,"{""labels"": []}",ok,0,0,0,0,0,0
ru54147aba1b,"{""labels"": [""grievance""]}",ok,0,0,1,0,0,0
ru68954d69da,"{""labels"": [""ig_outgroup"", ""grievance"", ""glorification""]}",ok,1,0,1,1,0,0
ru6a309e22d1,"{""labels"": []}",ok,0,0,0,0,0,0
